Climb,Area,Climber,Date,FrenchGrade,Style,Gender,Year,Grade,OriginalArea,SuggestedGrade,AscentNumber,Notes,SuggestedNumberGrade,AveragedNumberGrade
Corona,"Frankenjura, Germany",Dai Koyamada,10/28/2016,9a+,Sport Route,M,2016,5.15a,Frankenjura,9a+,6,,2,2
Geocache,"Frankenjura, Germany",Alexander Megos,9/11/2014,9a+,Sport Route,M,2014,5.15a,Frankenjura,9a+,1,,2,2
Geocache,"Frankenjura, Germany",Adam Ondra,1/1/2016,9a+,Sport Route,M,2016,5.15a,Frankenjura,9a+,2,1 day,2,2
Gossip,"Frankenjura, Germany",Markus Bock,4/15/2002,8C,Boulder Problem,M,2002,V15,Frankenjura,8C,1,,15,15
Gossip,"Frankenjura, Germany",John Gaskins,1/1/2004,8C,Boulder Problem,M,2004,V15,Frankenjura,UNKNOWN,2,John Gaskins' ascent has not been recognized by the local community,0,15
Gossip,"Frankenjura, Germany",Markus Windisch,5/1/2009,8C,Boulder Problem,M,2009,V15,Frankenjura,8C,3,,15,15
Half-Life,"Frankenjura, Germany",Felix Knaub,1/1/2012,8C,Boulder Problem,M,2012,V15,Frankenjura,8C,1,,15,15
Modified,"Frankenjura, Germany",Alexander Megos,6/1/2014,9a+,Sport Route,M,2014,5.15a,Frankenjura,9a+,1,3 hours,2,2
Modified,"Frankenjura, Germany",Adam Ondra,10/28/2015,9a+,Sport Route,M,2015,5.15a,Frankenjura,9a+,2,,2,2
Modified,"Frankenjura, Germany",David Firnenburg,1/1/2018,9a+,Sport Route,M,2018,5.15a,Frankenjura,9a+,3,9a+ soft,2,2
Supernova,"Frankenjura, Germany",Alexander Megos,10/2/2015,9b,Sport Route,M,2015,5.15b,Frankenjura,9a+/9b,1,5 days,2.5,3
Wrath of the Lichking,"Frankenjura, Germany",Felix Knaub,12/2/2012,8C,Boulder Problem,M,2012,V15,Frankenjura,8C,1,,15,15
Wrath of the Lichking,"Frankenjura, Germany",Alexander Megos,9/1/2014,8C,Boulder Problem,M,2014,V15,Frankenjura,8B+/8C,2,,14.5,15
Ziqqurat,Gaby,Niccolò Ceria,7/12/2015,8C,Boulder Problem,M,2015,V15,Gaby,8C,1,9 days,15,15
Ziqqurat,Gaby,Gabriele Moroni,9/28/2017,8C,Boulder Problem,M,2017,V15,Gaby,8C,2,5 days,15,15
Frozen Water,Gais,Alexander Feichter,4/6/2018,8C,Boulder Problem,M,2018,V15,Gais,8C,1,Hard,15,15
The Mystical Patatohead´s Direct Edge,Gais,Alexander Feichter,10/28/2016,8C,Boulder Problem,M,2016,V15,Gais,8C,1,Hard,15,15
Torture Physique Integrale,Gastlosen,Adam Ondra,7/7/2013,9b,Sport Route,M,2013,5.15b,Gastlosen,9a+/9b,1,,2.5,3
Nayuta ,Gero,Dai Koyamada,4/4/2017,8C+,Boulder Problem,M,2017,V16,Gero,8C+,1,"Watch the ascent on ""Dai's Video Diaries Vol. 6"". The boulder problem has been destroyed.",16,16
Nehanna ,Gero,Dai Koyamada,6/4/2016,8C,Boulder Problem,M,2016,V15,Gero,8B+/8C,1,8B+/8C. The boulder problem has been destroyed.,14.5,15
Yocuto ,Gero,Dai Koyamada,10/31/2017,8C,Boulder Problem,M,2017,V15,Gero,8C,1,10 days,15,15
Violent New Breed,Giggleswick,John Gaskins,6/21/2004,9a+,Sport Route,M,2004,5.15a,Giggleswick,9a+,1,,2,2
Open Air,Going am Wilden Kaiser,Alex Huber,1/1/1996,9a+,Sport Route,M,1996,5.15a,Schleierwasserfall,9a,1,First 9a+ in the world,1,2
Open Air,Going am Wilden Kaiser,Adam Ondra,1/1/2008,9a+,Sport Route,M,2008,5.15a,Schleierwasserfall,9a+,2,"5 days, 9 attempts",2,2
Hazel Grace,"Gottardo, Via San Gottardo, Switzerland",Giuliano Cameroni,8/1/2017,8C,Boulder Problem,M,2017,V15,Gottardo,8C,1,6 days,15,15
Hazel Grace,"Gottardo, Via San Gottardo, Switzerland",Nalle Hukkataival,9/8/2018,8C,Boulder Problem,M,2018,V15,Gottardo,8B+/8C,2,8B+/8C,14.5,15
Hazel Grace,"Gottardo, Via San Gottardo, Switzerland",David Graham,9/1/2018,8C,Boulder Problem,M,2018,V15,Gottardo,8C,3,,15,15
Hazel Grace,"Gottardo, Via San Gottardo, Switzerland",Gabriele Moroni,9/22/2018,8C,Boulder Problem,M,2018,V15,Gottardo,8B+,4,,14,15
Road Sweet Home,Grampians National Park,Nalle Hukkataival,9/9/2014,8C,Boulder Problem,M,2014,V15,Grampians,8C,1,,15,15
Stimulating Cartwheel,Grampians National Park,Alexander Megos,8/1/2013,8C,Boulder Problem,M,2013,V15,Grampians,8C,1,9a sport. As hard as The Wheel of Life,15,15
The Stepping Stone,Grampians National Park,Nalle Hukkataival,9/21/2015,8C,Boulder Problem,M,2015,V15,Grampians,8C,1,"""somewhere around V15""",15,15
The Wheel of Life,Grampians National Park,Dai Koyamada,5/12/2004,8C,Boulder Problem,M,2004,V15,Grampians,8C,1,"Koyamada originally suggested 8C+, but later changed his opinion to 8C. Watch the ascent on ""The Wheel of Life V16"".",15,15
The Wheel of Life,Grampians National Park,Christopher Webb-Parsons,10/13/2007,8C,Boulder Problem,M,2007,V15,Grampians,8C,2,,15,15
The Wheel of Life,Grampians National Park,Ethan Pringle,6/24/2010,8C,Boulder Problem,M,2010,V15,Grampians,9a/9a+ sport,3,9a/9a+ sport.,0,15
The Wheel of Life,Grampians National Park,James Kassay,9/7/2011,8C,Boulder Problem,M,2011,V15,Grampians,8C+,4,,16,15
The Wheel of Life,Grampians National Park,Benjamin Cossey,9/30/2011,8C,Boulder Problem,M,2011,V15,Grampians,8B+,5,,14,15
The Wheel of Life,Grampians National Park,David Graham,6/8/2012,8C,Boulder Problem,M,2012,V15,Grampians,9a+ sport,6,,0,15
The Wheel of Life,Grampians National Park,Ian Dory,6/17/2012,8C,Boulder Problem,M,2012,V15,Grampians,9a+ sport,7,,0,15
The Wheel of Life,Grampians National Park,Alexander Megos,7/6/2013,8C,Boulder Problem,M,2013,V15,Grampians,9a sport,8,,0,15
The Wheel of Life,Grampians National Park,Daniel Woods,7/23/2013,8C,Boulder Problem,M,2013,V15,Grampians,9a sport,9,,0,15
The Wheel of Life,Grampians National Park,Alex Barrows,5/28/2016,8C,Boulder Problem,M,2016,V15,Grampians,8B+,10,9a soft/8B+ soft,14,15
The Wheel of Life,Grampians National Park,Thomas O'Halloran,10/20/2017,8C,Boulder Problem,M,2017,V15,Grampians,8B+,11,4 sessions,14,15
The Wheel of Life (direct),Grampians National Park,James Kassay,11/10/2012,8C+,Boulder Problem,M,2012,V16,Grampians,8C+,1,,16,16
The Wheel of Life (direct),Grampians National Park,Jorg Verhoeven,11/4/2015,8C+,Boulder Problem,M,2015,V16,Grampians,8C,2,5 days,15,16
Wheelchair,Grampians National Park,Alexander Megos,8/1/2013,8C+,Boulder Problem,M,2013,V16,Grampians,8C+,1,9a+ sport. Harder than The Wheel of Life,16,16
Styrian Delirium,"Graz, Austria",Christof Rauch,5/21/2017,8C,Boulder Problem,M,2017,V15,Weststeiermark,8C,1,15 sessions,15,15
Malédiction assis,"Grenoble, France",Clément Lechaptois,3/2/2018,8C,Boulder Problem,M,2018,V15,Rioupéroux,8C,1,15 sessions,15,15
Sweet Neuf,"Grenoble, France",Anak Verhoeven,1/1/2017,9a+,Sport Route,F,2017,5.15a,Pierrot Beach,9a+,1,First 9a+ female first ascent,2,2
Ice Storm,Großarltal,Bernhard Schwaiger,2/7/2015,8C,Boulder Problem,M,2015,V15,Großarltal,8B+/8C,1,8B+/8C,14.5,15
Zephyr,Großarltal,Bernhard Schwaiger,3/14/2015,8C,Boulder Problem,M,2015,V15,Großarltal,8C,1,,15,15
The Ice Knife,Guanella Pass,David Graham,10/18/2011,8C,Boulder Problem,M,2011,V15,Guanella Pass,8C,1,,15,15
The Ice Knife,Guanella Pass,Daniel Woods,5/19/2013,8C,Boulder Problem,M,2013,V15,Guanella Pass,8B+,2,Changed grade opinion after his The Ice Knife SDS ascent.,14,15
The Ice Knife,Guanella Pass,Paul Robinson,5/19/2013,8C,Boulder Problem,M,2013,V15,Guanella Pass,8C,3,,15,15
The Ice Knife,Guanella Pass,James Webb,9/18/2013,8C,Boulder Problem,M,2013,V15,Guanella Pass,8B+,4,,14,15
The Ice Knife,Guanella Pass,Toru Nakajima,9/1/2013,8C,Boulder Problem,M,2013,V15,Guanella Pass,UNKNOWN,5,,0,15
The Ice Knife,Guanella Pass,Sam Weir,5/20/2018,8C,Boulder Problem,M,2018,V15,Guanella Pass,8C,6,8C soft,15,15
The Ice Knife,Guanella Pass,Keenan Takahashi,9/24/2018,8C,Boulder Problem,M,2018,V15,Guanella Pass,8B+,7,,14,15
The Ice Knife SDS,Guanella Pass,Daniel Woods,11/2/2013,8C,Boulder Problem,M,2013,V15,Guanella Pass,8C,1,8C hard,15,15
Hell Racer,Hell,Adam Ondra,9/22/2013,9a+,Sport Route,M,2013,5.15a,Hell,9a+,1,4 days,2,2
Eternal ,Hinokage,Dai Koyamada,5/1/2013,8C,Boulder Problem,M,2013,V15,Hinokage,8C,1,"Koyamada originally suggested 8C/8C+, but later changed his opinion to 8C.",15,15
Eternal ,Hinokage,Kazuma Watanabe,4/10/2015,8C,Boulder Problem,M,2015,V15,Hinokage,8C,2,,15,15
Meikyoushisui ,"Hiraoka, Tenryu",Satoshi Ogawa,,8C,Boulder Problem,M,1900,V15,Toyamagawa,8B+/8C,1,8B+/8C,14.5,15
Meikyoushisui ,"Hiraoka, Tenryu",Dai Koyamada,3/18/2016,8C,Boulder Problem,M,2016,V15,Toyamagawa,8B+/8C,2,8B+/8C,14.5,15
Meikyoushisui ,"Hiraoka, Tenryu",Toshi Takeuchi,3/23/2016,8C,Boulder Problem,M,2016,V15,Toyamagawa,8B+/8C,3,8B+/8C,14.5,15
Rokudou ,"Hiraoka, Tenryu",Dai Koyamada,3/25/2016,8C,Boulder Problem,M,2016,V15,Toyamagawa,8C,1,Low start of Meikyoushisui,15,15
Eterno Legado,Hoya Moros,Alberto Rocasolano Jaudenes,9/1/2017,8C,Boulder Problem,M,2017,V15,Hoya Moros,8B+/8C,1,8B+/8C,14.5,15
Indartsu,Hoya Moros,Jesús Muñoz Chuchi,9/19/2018,8C,Boulder Problem,M,2018,V15,Hoya Moros,8B+/8C,1,8B+/8C. Holds got broken since the FA.,14.5,15
Karoshi,Hueco Tanks,Paul Robinson,12/15/2018,8C,Boulder Problem,M,2018,V15,Hueco Tanks,8C,1,9 days,15,15
Terremer,Hueco Tanks,Frédéric Nicole,1/1/2006,8C,Boulder Problem,M,2006,V15,Hueco Tanks,8C+,1,,16,15
Terremer,Hueco Tanks,Paul Robinson,1/1/2008,8C,Boulder Problem,M,2008,V15,Hueco Tanks,8C,2,8C mid/soft. 4+ days,15,15
Terremer,Hueco Tanks,Daniel Woods,1/30/2010,8C,Boulder Problem,M,2010,V15,Hueco Tanks,8C,3,8C soft,15,15
Terremer,Hueco Tanks,Daniel Beall,1/21/2013,8C,Boulder Problem,M,2013,V15,Hueco Tanks,8C,4,,15,15
Terremer,Hueco Tanks,Simon Parton,12/16/2015,8C,Boulder Problem,M,2015,V15,Hueco Tanks,8C,5,1.5 hours,15,15
Des Scènes Bizarres dans la Mine d'Or,Jansegg,Pirmin Bertle,8/27/2015,9a+,Sport Route,M,2015,5.15a,Jansegg,9a+,1,,2,2
La Barrière,Jansegg,Pirmin Bertle,8/26/2018,9b,Sport Route,M,2018,5.15b,Jansegg,9b,1,,3,3
La Cène du lézard,Jansegg,Pirmin Bertle,12/1/2017,9a+,Sport Route,M,2017,5.15a,Jansegg,9a+,1,"30-50 days. Bertle originally suggested 9b soft, but later changed his opinion to 9a+.",2,2
La Cène du lézard,Jansegg,Cédric Lachat,10/10/2018,9a+,Sport Route,M,2018,5.15a,Jansegg,9a+,2,,2,2
Ace of Spades,"Jenkins Peak, UT",James Litz,1/1/2012,9a,Sport Route,M,2012,5.14d,Pop Tire Cave,9a,1,,1,1
Ace of Spades,"Jenkins Peak, UT",Daniel Woods,10/21/2018,9a,Sport Route,M,2018,5.14d,Pop Tire Cave,9a/9a+,2,,1.5,1
Peruvian Necktie,"Jenkins Peak, UT",James Litz,1/1/2013,9a+,Sport Route,M,2013,5.15a,Pop Tire Cave,9a+,1,"Attempted but not sent by Daniel Woods, who suggests it is 9b.",2,2
No Additives Sit-Start ,"Joe's Valley Campground, Utah",Griffin Whiteside,2/17/2018,8C,Boulder Problem,M,2018,V15,Joe's Valley,8C,1,Before break considered 8B+,15,15
Metafizika,Jurklošter,Jernej Kruder,9/26/2018,8C,Boulder Problem,M,2018,V15,Jurklošter,8C,1,,15,15
Euphoria ,Kagoshima,Dai Koyamada,3/20/2008,8C,Boulder Problem,M,2008,V15,Yatsue,8B+/8C,1,8B+/8C,14.5,15
Methuselahzation ,Kagoshima,Dai Koyamada,2/8/2004,8C,Boulder Problem,M,2004,V15,Yatsue,8C,1,,15,15
Ginga,Kanoto,Yuji Hirayama,4/21/2008,8C,Boulder Problem,M,2008,V15,Kanoto,8C,1,,15,15
Orochi ,Kanoto,Dai Koyamada,11/22/2006,8C,Boulder Problem,M,2006,V15,Kanoto,8B+/8C,1,"Koyamada originally suggested 8C, but later changed his opinion to 8B+/8C.",14.5,15
Orochi ,Kanoto,Makoto Yamauchi,10/31/2014,8C,Boulder Problem,M,2014,V15,Kanoto,8C,2,,15,15
Orochi ,Kanoto,Alexander Megos,3/23/2015,8C,Boulder Problem,M,2015,V15,Kanoto,8C,3,"2 hours. […] as cherry on top!!!! The full line ""Orochi"" graded V15!!! Felt maybe a little easer to me. […]",15,15
Orochi ,Kanoto,Toshi Takeuchi,4/18/2015,8C,Boulder Problem,M,2015,V15,Kanoto,8B+/8C,4,(8B+)/8C,14.5,15
Orochi ,Kanoto,Ryuichi Murai,10/20/2015,8C,Boulder Problem,M,2015,V15,Kanoto,8C,5,2 days. 8C soft,15,15
Orochi ,Kanoto,Nomura Shinichiro,2/17/2018,8C,Boulder Problem,M,2018,V15,Kanoto,8C,6,1 hour,15,15
Carinthian Dreams,Kärnten,Christof Rauch,5/25/2017,8C,Boulder Problem,M,2017,V15,Kärnten,8C,1,8C hard. 17 sessions,15,15
Iron Knuckles,Kärnten,Christof Rauch,5/14/2017,8C,Boulder Problem,M,2017,V15,Kärnten,8C,1,8C soft. 14 sessions,15,15
"Assasin, Monkey and Man",Kochel,Toni Lamprecht,4/9/2008,8C,Boulder Problem,M,2008,V15,Kochel,8C,1,,15,15
Bokassa's Fridge,Kochel,Toni Lamprecht,3/1/2006,8C,Boulder Problem,M,2006,V15,Kochel,8C,1,,15,15
"Bokassa's Fridge - Assassin, Monkey and Man",Kochel,Toni Lamprecht,3/7/2009,8C+,Boulder Problem,M,2009,V16,Kochel,8C+,1,,16,16
"Bokassa's Fridge - Assassin, Monkey and Man",Kochel,Christof Rauch,2/1/2019,8C+,Boulder Problem,M,2019,V16,Kochel,8C,2,,15,16
Maria Singer,Kochel,Toni Lamprecht,3/11/2004,8C,Boulder Problem,M,2004,V15,Kochel,8C,1,,15,15
Rise,Kunisaki,Sachi Amma,11/20/2018,9a+,Sport Route,M,2018,5.15a,Mt. Futago,9a+,1,,2,2
Obsesja,Kusięta,Łukasz Dudek,11/27/2015,8C,Boulder Problem,M,2015,V15,Kusięta,8C,1,"40-50 days. The FA might have been made on November 28, 2015 or November 30, 2015.",15,15
Dream Project,Kyoto,Dai Koyamada,3/24/2019,8C,Boulder Problem,M,2019,V15,Mt. Hiei,8C,1,,15,15
Horizon ,Kyoto,Dai Koyamada,5/8/2015,8C,Boulder Problem,M,2015,V15,Mt. Hiei,8C,1,"8C (maybe harder). 3 years. Watch the ascent on ""Dai's Video Diaries vol. 5"".",15,15
Horizon ,Kyoto,Ashima Shiraishi,3/22/2016,8C,Boulder Problem,F,2016,V15,Mt. Hiei,8C,2,"First woman to climb V15. Watch the ascent on ""Reel Rock Tour 11"".",15,15
Horizon ,Kyoto,Daisuke Ichimiya,1/13/2017,8C,Boulder Problem,M,2017,V15,Mt. Hiei,8C,3,,15,15
Deep Spot,La Balme de Yenne,Mathieu Bouyoud,8/25/2015,9a+,Sport Route,M,2015,5.15a,La Balme de Yenne,9a+,1,,2,2
Boulder Blaster,"La Comarca, Spain",Pol Roca Lopez,11/29/2018,8C,Boulder Problem,M,2018,V15,La Comarca,8C,1,30-40 days,15,15
The Matriarch,"Lafayette, GA",James Webb,12/20/2015,8C,Boulder Problem,M,2015,V15,Rocktown,8C,1,6+ days,15,15
Il Pirata,Lake District National Park,John Gaskins,2/1/2004,8C,Boulder Problem,M,2004,V15,Lake District,8C,1,,15,15
Shadowplay,Lake District National Park,John Gaskins,10/1/2004,8C,Boulder Problem,M,2004,V15,Lake District,8C,1,,15,15
Walk Away SD,Lake District National Park,John Gaskins,1/1/2003,8C,Boulder Problem,M,2003,V15,Lake District,8C,1,,15,15
Maturity,Lake Okutama,Sachi Amma,1/1/2018,9a+,Sport Route,M,2018,5.15a,Gozen Yama,9a+,1,,2,2
Soul Mate,Lake Okutama,Sachi Amma,3/25/2018,9b,Sport Route,M,2018,5.15b,Gozen Yama,9b,1,20 days,3,3
The Outer Limits,Lake Tahoe,James Webb,10/11/2017,8C,Boulder Problem,M,2017,V15,Lake Tahoe,8C,1,,15,15
The Outer Limits,Lake Tahoe,Carlo Traversi,5/10/2019,8C,Boulder Problem,M,2019,V15,Lake Tahoe,8C,2,,15,15
The Multiverse,"Laramie, WY",James Webb,11/4/2014,8C,Boulder Problem,M,2014,V15,Wyoming,8C,1,"Webb originally graded this climb 8B+, but later changed his opinion to 8C.",15,15
Whiplash,Lietlahti Park,Alexey Rubtsov,10/26/2017,8C,Boulder Problem,M,2017,V15,Lietlahti Park,8C,1,7 days,15,15
Mediomalomania,"Lindental, Switzerland",Pirmin Bertle,11/4/2015,8C,Boulder Problem,M,2015,V15,Lindental,8C,1,8C bloc / 8C+ trav. 38 days over 3 years,15,15
Minimalomania,"Lindental, Switzerland",Pirmin Bertle,1/29/2013,8C,Boulder Problem,M,2013,V15,Lindental,8C,1,"Bertle originally suggested 8C+ bloc/9A trav, but later changed his opinion to 8C/8C+ trav. 40 days",15,15
Pipe Dream SD,Lofer,Bernhard Schwaiger,2/9/2010,8C,Boulder Problem,M,2010,V15,Saalachtal,8C,1,,15,15
Power of Silence,Lofer,Bernhard Schwaiger,5/6/2017,8C,Boulder Problem,M,2017,V15,Saalachtal,8B+/8C,1,8B+/8C,14.5,15
Sound of Silence,Lofer,Bernhard Schwaiger,12/30/2016,8C,Boulder Problem,M,2016,V15,Saalachtal,8C,1,,15,15
Sound of Silence,Lofer,Christof Rauch,11/4/2017,8C,Boulder Problem,M,2017,V15,Saalachtal,8B+,2,,14,15
Whirlwind,Lofer,Bernhard Schwaiger,10/26/2010,8C,Boulder Problem,M,2010,V15,Saalachtal,8C,1,,15,15
Zunami,Lofer,Bernhard Schwaiger,12/6/2003,8C,Boulder Problem,M,2003,V15,Saalachtal,8C,1,,15,15
Zunami,Lofer,Hermann Schwaiger,1/1/2004,8C,Boulder Problem,M,2004,V15,Saalachtal,8C,2,,15,15
Zunami,Lofer,Klem Loskot,11/1/2012,8C,Boulder Problem,M,2012,V15,Saalachtal,8C,3,,15,15
Zunami,Lofer,Florian Schmalzl,3/30/2014,8C,Boulder Problem,M,2014,V15,Saalachtal,8C,4,10 days over 3 years,15,15
Zunami,Lofer,Tamás Zupán,5/11/2016,8C,Boulder Problem,M,2016,V15,Saalachtal,8C,5,6 days,15,15
Zunami,Lofer,Christof Rauch,11/4/2017,8C,Boulder Problem,M,2017,V15,Saalachtal,8C,6,,15,15
La Madone,Lourmarin,Gérome Pouvreau,6/17/2011,9a+,Sport Route,M,2011,5.15a,Lourmarin,9a+,1,,2,2
La Madone,Lourmarin,Sébastien Bouin,1/1/2012,9a+,Sport Route,M,2012,5.15a,Lourmarin,9a+,2,,2,2
Burden of Dreams,Loviisa,Nalle Hukkataival,10/23/2016,9A,Boulder Problem,M,2016,V17,Lappnor,9A,1,"4000+ attempts over 4+ years. Watch the ascent on ""The Lappnor Project"". Watch Nalle climbing the boulder problem from one move in on the extras of ""Kylmää kiveä"". First 9A in the world.",17,17
Eternity,Madrid,Alberto Rocasolano Jaudenes,11/13/2017,8C,Boulder Problem,M,2017,V15,Madrid,8B+/8C,1,8B+/8C,14.5,15
Soyuz (low),Madrid,Alberto Rocasolano Jaudenes,12/4/2013,8C,Boulder Problem,M,2013,V15,Madrid,8C,1,,15,15
Soyuz (low),Madrid,César Quero,12/26/2016,8C,Boulder Problem,M,2016,V15,Madrid,8C,2,8C hard. 5 months of effort,15,15
Trinity,Madrid,Alberto Rocasolano Jaudenes,9/1/2017,8C,Boulder Problem,M,2017,V15,Madrid,8C,1,,15,15
In Search of Time Lost,"Magic Wood, Switzerland",Daniel Woods,5/9/2008,8C,Boulder Problem,M,2008,V15,Magic Wood,8C,1,8 days,15,15
In Search of Time Lost,"Magic Wood, Switzerland",Dai Koyamada,8/28/2011,8C,Boulder Problem,M,2011,V15,Magic Wood,8C,2,"4 days. Watch the ascent on ""Dai's Video Diaries vol. 3"".",15,15
In Search of Time Lost,"Magic Wood, Switzerland",Carlo Traversi,10/19/2012,8C,Boulder Problem,M,2012,V15,Magic Wood,8C,3,,15,15
In Search of Time Lost,"Magic Wood, Switzerland",Tamás Zupán,7/9/2014,8C,Boulder Problem,M,2014,V15,Magic Wood,8C,4,8 sessions,15,15
In Search of Time Lost,"Magic Wood, Switzerland",Ryuichi Murai,7/4/2017,8C,Boulder Problem,M,2017,V15,Magic Wood,8C,5,4 days,15,15
La Force Tranquille,"Magic Wood, Switzerland",Daniel Woods,10/15/2011,8C,Boulder Problem,M,2011,V15,Magic Wood,8C,1,8C hard,15,15
La Force Tranquille,"Magic Wood, Switzerland",Nalle Hukkataival,6/17/2013,8C,Boulder Problem,M,2013,V15,Magic Wood,8C,2,3 days,15,15
La Grosse Tarlouze,"Magic Wood, Switzerland",Michael Piccolruaz,3/31/2015,8C,Boulder Problem,M,2015,V15,Magic Wood,8C,1,8C soft,15,15
La Grosse Tarlouze,"Magic Wood, Switzerland",Christof Rauch,5/30/2019,8C,Boulder Problem,M,2019,V15,Magic Wood,8C,2,,15,15
Practice of the Wild,"Magic Wood, Switzerland",Chris Sharma,6/27/2004,8C,Boulder Problem,M,2004,V15,Magic Wood,UNKNOWN,1,"The FA might have been made on June 28, 2004.",0,15
Practice of the Wild,"Magic Wood, Switzerland",Tyler Landman,9/26/2008,8C,Boulder Problem,M,2008,V15,Magic Wood,8C,2,"8C soft. 4 days. Watch the ascent on ""The Island - Volume Zero"".",15,15
Practice of the Wild,"Magic Wood, Switzerland",Daniel Woods,4/16/2011,8C,Boulder Problem,M,2011,V15,Magic Wood,8C,3,"8C soft, 3 days",15,15
Practice of the Wild,"Magic Wood, Switzerland",Adam Ondra,10/1/2011,8C,Boulder Problem,M,2011,V15,Magic Wood,8C,4,"8C soft, 3 days",15,15
Practice of the Wild,"Magic Wood, Switzerland",Carlo Traversi,10/23/2012,8C,Boulder Problem,M,2012,V15,Magic Wood,8C,5,"8C soft. Watch the ascent on ""Heritage"".",15,15
Practice of the Wild,"Magic Wood, Switzerland",James Webb,4/15/2014,8C,Boulder Problem,M,2014,V15,Magic Wood,8C,6,8C soft. 2 sessions,15,15
Practice of the Wild,"Magic Wood, Switzerland",Nalle Hukkataival,6/13/2014,8C,Boulder Problem,M,2014,V15,Magic Wood,8C,7,,15,15
Practice of the Wild,"Magic Wood, Switzerland",Anthony Gullsten,8/18/2014,8C,Boulder Problem,M,2014,V15,Magic Wood,8C,8,2 sessions,15,15
Practice of the Wild,"Magic Wood, Switzerland",Martin Stráník,10/28/2014,8C,Boulder Problem,M,2014,V15,Magic Wood,8C,9,"8C soft, 3 days",15,15
Practice of the Wild,"Magic Wood, Switzerland",Toshi Takeuchi,8/15/2015,8C,Boulder Problem,M,2015,V15,Magic Wood,8C,10,,15,15
Practice of the Wild,"Magic Wood, Switzerland",David MacLeod,5/1/2016,8C,Boulder Problem,M,2016,V15,Magic Wood,8C,11,,15,15
Practice of the Wild,"Magic Wood, Switzerland",Gabriele Moroni,5/6/2016,8C,Boulder Problem,M,2016,V15,Magic Wood,8B+,12,2 days,14,15
Practice of the Wild,"Magic Wood, Switzerland",Baptiste Ometz,10/1/2016,8C,Boulder Problem,M,2016,V15,Magic Wood,8B+,13,4 days,14,15
Practice of the Wild,"Magic Wood, Switzerland",David Firnenburg,4/15/2017,8C,Boulder Problem,M,2017,V15,Magic Wood,8B+,14,,14,15
Practice of the Wild,"Magic Wood, Switzerland",Ryuichi Murai,7/9/2017,8C,Boulder Problem,M,2017,V15,Magic Wood,8C,15,8C soft,15,15
Practice of the Wild,"Magic Wood, Switzerland",Alex Khazanov,9/9/2017,8C,Boulder Problem,M,2017,V15,Magic Wood,8B+/8C,16,8B+/8C,14.5,15
Practice of the Wild,"Magic Wood, Switzerland",William Bosi,9/27/2018,8C,Boulder Problem,M,2018,V15,Magic Wood,8C,17,,15,15
Practice of the Wild,"Magic Wood, Switzerland",Vadim Timonov,10/1/2018,8C,Boulder Problem,M,2018,V15,Magic Wood,8B+,18,,14,15
The Understanding,"Magic Wood, Switzerland",Nalle Hukkataival,6/15/2013,8C,Boulder Problem,M,2013,V15,Magic Wood,8C,1,,15,15
The Understanding,"Magic Wood, Switzerland",James Webb,4/10/2014,8C,Boulder Problem,M,2014,V15,Magic Wood,8C,2,1 session,15,15
The Understanding,"Magic Wood, Switzerland",Vadim Timonov,10/7/2018,8C,Boulder Problem,M,2018,V15,Magic Wood,8C,3,,15,15
Overshadow,Malham,Steve McClure,1/1/2007,9a+,Sport Route,M,2007,5.15a,Malham,9a+,1,,2,2
Overshadow,Malham,Adam Ondra,1/1/2011,9a+,Sport Route,M,2011,5.15a,Malham,9a+,2,9a+ hard,2,2
Rainman,Malham,Steve McClure,6/4/2017,9b,Sport Route,M,2017,5.15b,Malham Cove,9b,1,100+ sessions spanning ten seasons since 2010,3,3
Alasha,Mallorca,Chris Sharma,9/1/2016,9b,Sport Route,M,2016,5.15b,Mallorca,9b,1,"20 days over 5 years. Ungraded, but should be roughly the same difficulty as Es Pontas.",3,3
Big Men,Mallorca,Iker Pou,1/1/2015,9a+,Sport Route,M,2015,5.15a,Fraguel,9a+,1,,2,2
Es Pontas,Mallorca,Chris Sharma,9/28/2006,9b,Sport Route,M,2006,5.15b,Mallorca,9a+/9b,1,"Ungraded, but should be in the 9a+/9b range. Watch the ascent on ""King Lines"".",2.5,3
Es Pontas,Mallorca,Jernej Kruder,11/1/2016,9b,Sport Route,M,2016,5.15b,Mallorca,9b,2,"about 9th grade (9b hard with a symbolic grade). 39 tries, 16 sessions over four weeks",3,3
Es Pontas,Mallorca,Jan Hojer,10/5/2018,9b,Sport Route,M,2018,5.15b,Mallorca,9b,3,"30 days, 100+ tries",3,3
Bügeleisen Sit Start,Maltatal,Nalle Hukkataival,5/1/2014,8C,Boulder Problem,M,2014,V15,Maltatal,8C/8C+,1,8C/(8C+),15.5,15
Bügeleisen Sit Start,Maltatal,Jakob Schubert,4/7/2015,8C,Boulder Problem,M,2015,V15,Maltatal,8C,2,,15,15
Emotional Landscapes,Maltatal,Klem Loskot,11/10/2002,8C,Boulder Problem,M,2002,V15,Maltatal,8B+/8C,1,8B+/8C,14.5,15
Emotional Landscapes,Maltatal,Martin Moser,1/1/2004,8C,Boulder Problem,M,2004,V15,Maltatal,8B+,2,8B+?,14,15
Emotional Landscapes,Maltatal,Nalle Hukkataival,5/5/2014,8C,Boulder Problem,M,2014,V15,Maltatal,8C,3,,15,15
